points_ratio,email_send,email_open_rate,email_click_rate,email_forward_rate,rest_loc_bar,rest_loc_Merch,rest_loc_Open,rest_loc_Patio,rest_loc_Rest,rest_loc_rm_serv,rest_loc_Take_out,rest_loc_cafe,rest_loc_unkn,time_breakfast,time_dinner,time_late_nite,time_lunch,time_unknown,disc_app,disc_beverage,disc_dessert,disc_employee,disc_food,disc_other,disc_ribs,disc_sandwich,disc_ticket,disc_type_bogo,disc_type_comp,disc_type_dolfood,disc_type_empl,disc_type_free,disc_type_other,disc_type_pctfood,disc_chan_advo,disc_chan_comp,disc_chan_demo,disc_chan_empl,disc_chan_entbk,disc_chan_gmms,disc_chan_gps,disc_chan_laten,disc_chan_local,disc_chan_other,disc_chan_part,disc_chan_smart,disc_chan_valc,disc_chan_value,disc_pct_tot,disc_pct_trans,items_tot_distinct,items_tot,net_amt_p_item,checks_tot,net_sales_p_chck,net_sales_tot,fd_cat_alcoh,fd_cat_app,fd_cat_bev,fd_cat_brunc,fd_cat_buffe,fd_cat_burg,fd_cat_combo,fd_cat_dess,fd_cat_drink,fd_cat_h_ent,fd_cat_kids,fd_cat_l_ent,fd_cat_other,fd_cat_side,fd_cat_soupsal,fd_cat_steak,days_between_trans,tenure_day,age,guests_last_12mo,customer_number
0,25,0.2,0.2,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.2127,0.5,8,11,6.082727,2,33.455,66.91,0.437004,0.482588,0.080406,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1201,60,3.45,4074
0,43,0.465116279,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1588,0.333333333,8,10,5.772,3,19.24,57.72,0.096846,0,0.059251,0,0,0,0,0,0,0.269577,0,0.410083,0.017151,0,0.147089,0,61,1201,61,9.2,4075
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0.2802,0.666666667,7,10,4.952,3,16.5066,49.52,0,0,0.199515,0,0,0,0,0,0,0,0,0.161348,0,0,0.13025,0.508885,100,1200,79,5.75,4076
0,72,0.083333333,0.013888889,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3864,1,3,4,3.77,1,15.08,15.08,0,0,0.210875,0,0,0.402519,0,0,0,0.386604,0,0,0,0,0,0,0,1200,72,2.3,4077
0,28,0.142857143,0.035714286,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4009,1,3,4,4.2175,1,16.87,16.87,0,0,0.160278,0,0,0,0,0,0,0.336983,0,0,0.160278,0,0,0.342458,0,1200,72,2.3,4078
0,83,0.084337349,0.012048193,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4997,1,6,8,5,2,20,40,0,0.311408,0,0,0,0,0,0,0,0.551218,0,0,0.137373,0,0,0,117,1199,59,2.3,4079
0,61,0.704918033,0.016393443,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3578,1,5,13,5.180769,3,22.45,67.35,0,0.118782,0.164513,0,0,0.134224,0,0,0,0,0,0,0.008611,0,0,0.573867,29,1198,24,6.9,4080
0,64,0.5625,0.03125,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4123,1,7,7,3.827142,1,26.79,26.79,0.111982,0.062709,0.045539,0,0,0,0,0,0,0.225083,0,0,0.020903,0.145949,0,0.387831,0,1196,49,2.3,4081
0,46,0.630434783,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1824,1,4,5,6.532,1,32.66,32.66,0,0.154324,0.109787,0,0,0,0,0,0,0.401864,0,0.179699,0.154324,0,0,0,0,1196,27,2.3,4082
0,73,0.410958904,0,0,0.333333333,0,0,0,0.666666667,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3621,1,10,13,6.703076,3,29.0466,87.14,0.196121,0.033509,0.045788,0,0,0,0,0,0,0.323272,0,0,0,0,0,0.401308,66,1195,29,6.9,4083
1.302422,62,0.629032258,0.112903226,0,0.666666667,0,0,0,0.333333333,0,0,0,0,0,0.666666667,0,0.333333333,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.1976,0.666666667,13,14,5.975,3,27.8833,83.65,0.143454,0.19725,0.024745,0,0,0,0,0,0,0.124327,0,0,0.017812,0.064554,0,0.427854,43,1194,50,4.6,4084
0,42,0.166666667,0.023809524,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0674,0.5,14,14,8.192142,2,57.345,114.69,0.27715,0.187141,0.022201,0,0,0.152081,0,0,0,0.280296,0,0.077243,0.003885,0,0,0,69,1194,64,10.35,4085
0,55,0.563636364,0.018181818,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,6.19,1,6.19,6.19,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1193,24,0,4086
0,47,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1666,1,4,4,7.125,1,28.5,28.5,0,0.327671,0,0,0,0,0,0,0,0.231422,0.113234,0,0.327671,0,0,0,0,1193,54,2.3,4087
4.912556,45,0.222222222,0.022222222,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.1469,0.5,4,5,10.214,2,25.535,51.07,0,0.450362,0.160172,0,0,0,0,0,0,0.389465,0,0,0,0,0,0,61,1193,51,3.45,4088
0,34,0.058823529,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0744,0.5,18,28,6.996071,2,97.945,195.89,0.089418,0.084366,0.105481,0,0,0.077168,0,0,0,0.436367,0.019971,0,0.068636,0.012821,0,0.105767,52,1192,29,13.8,4089
0,34,0.676470588,0.029411765,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,6.955,1,13.91,13.91,0.36808,0,0,0,0,0.631919,0,0,0,0,0,0,0,0,0,0,0,1192,28,1.15,4090
7.272727,84,0.345238095,0.011904762,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.4798,1,5,6,3.61,1,21.66,21.66,0,0.599722,0.196214,0,0,0.204062,0,0,0,0,0,0,0,0,0,0,0,1192,36,3.45,4091
0,66,0.666666667,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.4565,1,5,6,6.03,2,18.09,36.18,0,0.552791,0.198452,0,0,0,0,0,0,0,0,0,0,0,0.248756,0,4,1191,48,2.3,4092
0,48,0.375,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,5.535454,2,30.445,60.89,0,0.223025,0.173427,0,0,0.456068,0,0,0,0,0,0.13122,0.016258,0,0,0,93,1191,63,2.3,4093
0,82,0.158536585,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.3594,1,5,9,4.424444,2,14.77,29.54,0,0,0.310088,0,0,0.179756,0,0,0,0,0,0,0,0,0.510155,0,10,1187,57,3.45,4094
0,46,0.585365854,0.048780488,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,9.663333,1,28.99,28.99,0.586409,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.41359,0,1187,61,1.15,4095
1.921968,46,0.195652174,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,10,5.203,1,52.03,52.03,0.430196,0.339365,0.04981,0,0,0,0,0,0,0,0.077387,0,0.10324,0,0,0,0,684,55,1.15,4096
1.515151,51,0.176470588,0,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0.5,0.1763,1,10,12,5.475833,2,32.855,65.71,0.168619,0,0.071374,0,0,0.221275,0,0,0,0.371024,0,0,0,0.114594,0.053112,0,55,1186,26,2.3,4097
0,63,0.587301587,0.015873016,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6.792,1,33.96,33.96,0.088339,0.535335,0.076266,0,0,0.300058,0,0,0,0,0,0,0,0,0,0,0,1186,60,1.15,4098
0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5069,1,2,2,5,1,10,10,0,0.364,0,0,0,0,0,0,0,0.636,0,0,0,0,0,0,0,1186,0,1.15,4099
0,31,0.178571429,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,7.756666,1,23.27,23.27,0,0,0,0,0,0.42501,0,0,0,0,0,0,0,0.119896,0,0.455092,0,1186,0,2.3,4100
0,28,0.111111111,0.037037037,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,14,6.216428,2,43.515,87.03,0,0.076613,0.124976,0,0,0.19048,0,0,0,0,0,0.280501,0.166538,0,0.160888,0,124,1185,75,4.6,4101
3.474762,47,0.510638298,0.127659574,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.284,0.666666667,5,8,5.605,3,14.9466,44.84,0,0.19857,0.120285,0,0,0.482573,0,0,0,0,0,0,0.19857,0,0,0,54,1184,34,3.45,4102
1.910828,54,0.351851852,0.018518519,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,6.793333,1,20.38,20.38,0,0.736015,0.263984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1184,77,1.15,4103
0,43,0.738095238,0.023809524,0,0,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.5283,1,5,8,5,2,20,40,0,0.294532,0,0,0,0.090299,0,0,0,0.320634,0,0,0.294532,0,0,0,4,1184,43,4.6,4104
0,56,0.320754717,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,7,6.718571,3,15.6766,47.03,0,0.29109,0.158834,0,0,0,0,0,0,0.518392,0.031681,0,0,0,0,0,13,1183,67,3.45,4105
0,21,0.210526316,0,0,0,0,0,0,1,0,0,0,0,0,0.666666667,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,7.79625,3,20.79,62.37,0,0,0.134199,0,0,0.612473,0,0,0,0.253326,0,0,0,0,0,0,90,1183,68,8.05,4106
0,79,0.35443038,0,0,0,0,0,0,1,0,0,0,0,0,0.666666667,0,0.333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1834,0.666666667,10,12,5.935,3,23.74,71.22,0.140576,0,0.098498,0,0,0.320119,0,0,0,0.119199,0,0,0.044919,0,0.276687,0,66,1183,75,6.9,4107
0,53,0.132075472,0.018867925,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,10,1,10,10,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1182,74,1.15,4108
0,60,0.733333333,0.016666667,0,0,0,0,0,1,0,0,0,0,0,0.25,0,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,23,8.821739,4,41.805,167.22,0.03588,0.136287,0.092931,0,0,0,0,0,0,0.568293,0.047721,0,0,0.0119,0,0.106984,53,1181,45,12.65,4109
0,55,0.127272727,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,7.89,1,31.56,31.56,0,0,0.202154,0,0,0,0,0,0,0.797845,0,0,0,0,0,0,0,1181,43,2.3,4110
